title,release_year,runtime,genre,rating,gross(M)
The Shawshank Redemption,1994,142,Drama,9.3,28.34
The Godfather,1972,175,Crime,9.2,134.97
The Godfather,1972,175,Drama,9.2,134.97
The Dark Knight,2008,152,Action,9,534.86
The Dark Knight,2008,152,Crime,9,534.86
The Dark Knight,2008,152,Drama,9,534.86
Schindler's List,1993,195,Biography,9,96.9
Schindler's List,1993,195,Drama,9,96.9
Schindler's List,1993,195,History,9,96.9
12 Angry Men,1957,96,Crime,9,4.36
12 Angry Men,1957,96,Drama,9,4.36
The Godfather Part II,1974,202,Crime,9,57.3
The Godfather Part II,1974,202,Drama,9,57.3
The Lord of the Rings: The Return of the King,2003,201,Action,9,377.85
The Lord of the Rings: The Return of the King,2003,201,Adventure,9,377.85
The Lord of the Rings: The Return of the King,2003,201,Drama,9,377.85
Spider-Man: Across the Spider-Verse,2023,140,Animation,8.9,0
Spider-Man: Across the Spider-Verse,2023,140,Action,8.9,0
Spider-Man: Across the Spider-Verse,2023,140,Adventure,8.9,0
Pulp Fiction,1994,154,Crime,8.9,107.93
Pulp Fiction,1994,154,Drama,8.9,107.93
Inception,2010,148,Action,8.8,292.58
Inception,2010,148,Adventure,8.8,292.58
Inception,2010,148,Sci-Fi,8.8,292.58
The Lord of the Rings: The Fellowship of the Ring,2001,178,Action,8.8,315.54
The Lord of the Rings: The Fellowship of the Ring,2001,178,Adventure,8.8,315.54
The Lord of the Rings: The Fellowship of the Ring,2001,178,Drama,8.8,315.54
Fight Club,1999,139,Drama,8.8,37.03
Forrest Gump,1994,142,Drama,8.8,330.25
Forrest Gump,1994,142,Romance,8.8,330.25
"The Good, the Bad and the Ugly",1966,178,Adventure,8.8,6.1
"The Good, the Bad and the Ugly",1966,178,Western,8.8,6.1
The Lord of the Rings: The Two Towers,2002,179,Action,8.8,342.55
The Lord of the Rings: The Two Towers,2002,179,Adventure,8.8,342.55
The Lord of the Rings: The Two Towers,2002,179,Drama,8.8,342.55
Jai Bhim,2021,164,Crime,8.8,0
Jai Bhim,2021,164,Drama,8.8,0
Jai Bhim,2021,164,Mystery,8.8,0
777 Charlie,2022,164,Adventure,8.8,0
777 Charlie,2022,164,Comedy,8.8,0
777 Charlie,2022,164,Drama,8.8,0
Rocketry: The Nambi Effect,2022,157,Biography,8.8,0
Rocketry: The Nambi Effect,2022,157,Drama,8.8,0
Interstellar,2014,169,Adventure,8.7,188.02
Interstellar,2014,169,Drama,8.7,188.02
Interstellar,2014,169,Sci-Fi,8.7,188.02
Goodfellas,1990,145,Biography,8.7,46.84
Goodfellas,1990,145,Crime,8.7,46.84
Goodfellas,1990,145,Drama,8.7,46.84
The Matrix,1999,136,Action,8.7,171.48
The Matrix,1999,136,Sci-Fi,8.7,171.48
One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7,112
Star Wars: Episode V - The Empire Strikes Back,1980,124,Action,8.7,290.48
Star Wars: Episode V - The Empire Strikes Back,1980,124,Adventure,8.7,290.48
Star Wars: Episode V - The Empire Strikes Back,1980,124,Fantasy,8.7,290.48
Soorarai Pottru,2020,153,Action,8.7,0
Soorarai Pottru,2020,153,Drama,8.7,0
The Green Mile,1999,189,Crime,8.6,136.8
The Green Mile,1999,189,Drama,8.6,136.8
The Green Mile,1999,189,Fantasy,8.6,136.8
Ter  ator 2: Judgment Day,1991,137,Action,8.6,204.84
Ter  ator 2: Judgment Day,1991,137,Sci-Fi,8.6,204.84
Se7en,1995,127,Crime,8.6,100.13
Se7en,1995,127,Drama,8.6,100.13
Se7en,1995,127,Mystery,8.6,100.13
The Silence of the Lambs,1991,118,Crime,8.6,130.74
The Silence of the Lambs,1991,118,Drama,8.6,130.74
The Silence of the Lambs,1991,118,Thriller,8.6,130.74
Saving Private Ryan,1998,169,Drama,8.6,216.54
Saving Private Ryan,1998,169,War,8.6,216.54
Star Wars: Episode IV - A New Hope,1977,121,Action,8.6,322.74
Star Wars: Episode IV - A New Hope,1977,121,Adventure,8.6,322.74
Star Wars: Episode IV - A New Hope,1977,121,Fantasy,8.6,322.74
Spirited Away,2001,125,Animation,8.6,10.06
Spirited Away,2001,125,Adventure,8.6,10.06
Spirited Away,2001,125,Family,8.6,10.06
City of God,2002,130,Crime,8.6,7.56
City of God,2002,130,Drama,8.6,7.56
Life Is Beautiful,1997,116,Comedy,8.6,57.6
Life Is Beautiful,1997,116,Drama,8.6,57.6
Life Is Beautiful,1997,116,Romance,8.6,57.6
Seven Samurai,1954,207,Action,8.6,0.27
Seven Samurai,1954,207,Drama,8.6,0.27
It's a Wonderful Life,1946,130,Drama,8.6,0
It's a Wonderful Life,1946,130,Family,8.6,0
It's a Wonderful Life,1946,130,Fantasy,8.6,0
Harakiri,1962,133,Action,8.6,0
Harakiri,1962,133,Drama,8.6,0
Harakiri,1962,133,Mystery,8.6,0
Sita Ramam,2022,163,Action,8.6,0
Sita Ramam,2022,163,Drama,8.6,0
Sita Ramam,2022,163,Mystery,8.6,0
Back to the Future,1985,116,Adventure,8.5,210.61
Back to the Future,1985,116,Comedy,8.5,210.61
Back to the Future,1985,116,Sci-Fi,8.5,210.61
The Departed,2006,151,Crime,8.5,132.38
The Departed,2006,151,Drama,8.5,132.38
The Departed,2006,151,Thriller,8.5,132.38
Alien,1979,117,Horror,8.5,78.9
Alien,1979,117,Sci-Fi,8.5,78.9
Gladiator,2000,155,Action,8.5,187.71
Gladiator,2000,155,Adventure,8.5,187.71
Gladiator,2000,155,Drama,8.5,187.71
Parasite,2019,132,Drama,8.5,53.37
Parasite,2019,132,Thriller,8.5,53.37
Whiplash,2014,106,Drama,8.5,13.09
Whiplash,2014,106,Music,8.5,13.09
The Prestige,2006,130,Drama,8.5,53.09
The Prestige,2006,130,Mystery,8.5,53.09
The Prestige,2006,130,Sci-Fi,8.5,53.09
Léon: The Professional,1994,110,Action,8.5,19.5
Léon: The Professional,1994,110,Crime,8.5,19.5
Léon: The Professional,1994,110,Drama,8.5,19.5
Casablanca,1942,102,Drama,8.5,1.02
Casablanca,1942,102,Romance,8.5,1.02
Casablanca,1942,102,War,8.5,1.02
American History X,1998,119,Crime,8.5,6.72
American History X,1998,119,Drama,8.5,6.72
The Lion King,1994,88,Animation,8.5,422.78
The Lion King,1994,88,Adventure,8.5,422.78
The Lion King,1994,88,Drama,8.5,422.78
The Usual Suspects,1995,106,Crime,8.5,23.34
The Usual Suspects,1995,106,Drama,8.5,23.34
The Usual Suspects,1995,106,Mystery,8.5,23.34
The Pianist,2002,150,Biography,8.5,32.57
The Pianist,2002,150,Drama,8.5,32.57
The Pianist,2002,150,Music,8.5,32.57
Psycho,1960,109,Horror,8.5,32
Psycho,1960,109,Mystery,8.5,32
Psycho,1960,109,Thriller,8.5,32
The Intouchables,2011,112,Biography,8.5,13.18
The Intouchables,2011,112,Comedy,8.5,13.18
The Intouchables,2011,112,Drama,8.5,13.18
Once Upon a Time in the West,1968,165,Western,8.5,5.32
Grave of the Fireflies,1988,89,Animation,8.5,0
Grave of the Fireflies,1988,89,Drama,8.5,0
Grave of the Fireflies,1988,89,War,8.5,0
Rear Window,1954,112,Mystery,8.5,36.76
Rear Window,1954,112,Thriller,8.5,36.76
Cinema Paradiso,1988,155,Drama,8.5,11.99
Cinema Paradiso,1988,155,Romance,8.5,11.99
Modern Times,1936,87,Comedy,8.5,0.16
Modern Times,1936,87,Drama,8.5,0.16
Modern Times,1936,87,Romance,8.5,0.16
City Lights,1931,87,Comedy,8.5,0.02
City Lights,1931,87,Drama,8.5,0.02
City Lights,1931,87,Romance,8.5,0.02
96,2018,158,Drama,8.5,0
96,2018,158,Romance,8.5,0
Spider-Man: Into the Spider-Verse,2018,117,Animation,8.4,190.24
Spider-Man: Into the Spider-Verse,2018,117,Action,8.4,190.24
Spider-Man: Into the Spider-Verse,2018,117,Adventure,8.4,190.24
Indiana Jones and the Raiders of the Lost Ark,1981,115,Action,8.4,248.16
Indiana Jones and the Raiders of the Lost Ark,1981,115,Adventure,8.4,248.16
Avengers: Endgame,2019,181,Action,8.4,858.37
Avengers: Endgame,2019,181,Adventure,8.4,858.37
Avengers: Endgame,2019,181,Drama,8.4,858.37
Django Unchained,2012,165,Drama,8.4,162.81
Django Unchained,2012,165,Western,8.4,162.81
Joker,2019,122,Crime,8.4,335.45
Joker,2019,122,Drama,8.4,335.45
Joker,2019,122,Thriller,8.4,335.45
Aliens,1986,137,Action,8.4,85.16
Aliens,1986,137,Adventure,8.4,85.16
Aliens,1986,137,Sci-Fi,8.4,85.16
The Shining,1980,146,Drama,8.4,44.02
The Shining,1980,146,Horror,8.4,44.02
Apocalypse Now,1979,147,Drama,8.4,83.47
Apocalypse Now,1979,147,Mystery,8.4,83.47
Apocalypse Now,1979,147,War,8.4,83.47
Oldboy,2003,120,Action,8.4,0.71
Oldboy,2003,120,Drama,8.4,0.71
Oldboy,2003,120,Mystery,8.4,0.71
The Dark Knight Rises,2012,164,Action,8.4,448.14
The Dark Knight Rises,2012,164,Drama,8.4,448.14
The Dark Knight Rises,2012,164,Thriller,8.4,448.14
Avengers: Infinity War,2018,149,Action,8.4,678.82
Avengers: Infinity War,2018,149,Adventure,8.4,678.82
Avengers: Infinity War,2018,149,Sci-Fi,8.4,678.82
Memento,2000,113,Mystery,8.4,25.54
Memento,2000,113,Thriller,8.4,25.54
Amadeus,1984,160,Biography,8.4,51.97
Amadeus,1984,160,Drama,8.4,51.97
Amadeus,1984,160,Music,8.4,51.97
Coco,2017,105,Animation,8.4,209.73
Coco,2017,105,Adventure,8.4,209.73
Coco,2017,105,Drama,8.4,209.73
Come and See,1985,142,Drama,8.4,0
Come and See,1985,142,Thriller,8.4,0
Come and See,1985,142,War,8.4,0
WALL·E,2008,98,Animation,8.4,223.81
WALL·E,2008,98,Adventure,8.4,223.81
WALL·E,2008,98,Family,8.4,223.81
Your Name.,2016,106,Animation,8.4,5.02
Your Name.,2016,106,Drama,8.4,5.02
Your Name.,2016,106,Fantasy,8.4,5.02
Das Boot,1981,149,Drama,8.4,11.49
Das Boot,1981,149,War,8.4,11.49
The Lives of Others,2006,137,Drama,8.4,11.29
The Lives of Others,2006,137,Mystery,8.4,11.29
The Lives of Others,2006,137,Thriller,8.4,11.29
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,Comedy,8.4,0.28
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,War,8.4,0.28
